관서명,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,구별,위도,경도
중부,2.0,2.0,3.0,3.0,141.0,96.0,1204.0,485.0,1335.0,1164.0,중구,37.563646500000004,126.98957959999998
종로,4.0,0.0,6.0,3.0,137.0,113.0,952.0,389.0,1291.0,1135.0,종로구,37.5755578,126.98486740000001
남대문,1.0,1.0,5.0,4.0,57.0,52.0,946.0,429.0,890.0,832.0,중구,37.5547584,126.97349809999999
서대문,6.0,7.0,5.0,4.0,175.0,147.0,1503.0,752.0,1976.0,1644.0,서대문구,37.5647848,126.96677620000001
혜화,2.0,2.0,6.0,6.0,101.0,64.0,988.0,379.0,972.0,842.0,종로구,37.5718401,126.99885619999999
용산,4.0,4.0,9.0,10.0,251.0,214.0,1489.0,599.0,2384.0,2008.0,용산구,37.5411211,126.96769350000001
성북,2.0,2.0,3.0,3.0,103.0,75.0,790.0,381.0,1176.0,1004.0,성북구,37.5897271,127.0161318
동대문,5.0,5.0,10.0,12.0,190.0,158.0,1940.0,1071.0,2642.0,2377.0,동대문구,37.58506149999999,127.0457679
마포,4.0,4.0,4.0,7.0,399.0,320.0,2527.0,940.0,2939.0,2500.0,마포구,37.550814,126.95402800000001
영등포,13.0,13.0,19.0,14.0,356.0,225.0,2341.0,940.0,3593.0,3007.0,영등포구,37.525788399999996,126.90100600000001
성동,4.0,5.0,3.0,5.0,104.0,78.0,1296.0,896.0,1619.0,1408.0,성동구,37.5617309,127.03638059999999
동작,8.0,6.0,7.0,7.0,325.0,149.0,1226.0,554.0,1661.0,1444.0,동작구,37.5130685,126.9428078
광진,4.0,4.0,11.0,6.0,279.0,234.0,2636.0,1057.0,2392.0,2011.0,광진구,37.542873,127.083821
서부,4.0,4.0,4.0,2.0,54.0,49.0,781.0,389.0,1128.0,980.0,은평구,37.6128611,126.92749509999999
강북,7.0,6.0,5.0,4.0,217.0,159.0,1222.0,672.0,2778.0,2482.0,강북구,37.637303900000006,127.0273399
금천,6.0,6.0,7.0,7.0,175.0,143.0,1264.0,654.0,2193.0,1946.0,관악구,37.4814051,126.90995079999999
중랑,8.0,7.0,14.0,14.0,164.0,150.0,1691.0,1052.0,3164.0,2712.0,중랑구,37.618691999999996,127.1047136
강남,3.0,3.0,24.0,26.0,339.0,269.0,2438.0,1129.0,2336.0,2096.0,강남구,37.5094352,127.0669578
관악,6.0,7.0,12.0,10.0,322.0,264.0,2103.0,937.0,3235.0,2707.0,관악구,37.4743789,126.9509748
강서,9.0,10.0,10.0,10.0,275.0,239.0,1952.0,1070.0,3204.0,2768.0,양천구,37.5397827,126.82999679999999
강동,4.0,5.0,14.0,13.0,160.0,152.0,1754.0,902.0,2530.0,2201.0,강동구,37.528511,127.12682240000002
종암,2.0,1.0,5.0,5.0,51.0,42.0,680.0,344.0,932.0,815.0,성북구,37.6020592,127.0321577
구로,9.0,9.0,10.0,13.0,273.0,181.0,1910.0,861.0,3164.0,2680.0,구로구,37.494931,126.88673100000001
서초,4.0,4.0,9.0,5.0,350.0,220.0,1733.0,814.0,1838.0,1583.0,서초구,37.4956054,127.0052504
양천,5.0,5.0,7.0,7.0,131.0,108.0,1719.0,755.0,2250.0,1918.0,양천구,37.5165667,126.8656763
송파,9.0,8.0,15.0,12.0,234.0,184.0,2543.0,1048.0,3289.0,2808.0,송파구,37.5019065,127.12715130000001
노원,5.0,6.0,6.0,9.0,159.0,142.0,1857.0,740.0,2516.0,2124.0,노원구,37.642360499999995,127.07140270000001
방배,1.0,1.0,4.0,5.0,78.0,51.0,472.0,293.0,500.0,446.0,서초구,37.4945959,126.98312790000001
은평,2.0,2.0,5.0,5.0,102.0,93.0,885.0,501.0,1536.0,1328.0,은평구,37.628359700000004,126.9287226
도봉,3.0,3.0,5.0,5.0,123.0,121.0,866.0,492.0,1441.0,1309.0,도봉구,37.6533589,127.052682
수서,2.0,2.0,15.0,16.0,177.0,144.0,1149.0,789.0,1666.0,1431.0,강남구,37.49349,127.0772119
